# [lattice] recent context, 2026-05-22 10:06am GMT+5:30

**Legend:** session-request | 🔴 bugfix | 🟣 feature | 🔄 refactor | ✅ change | 🔵 discovery | ⚖️ decision

**Column Key**:
- **Read**: Tokens to read this observation (cost to learn it now)
- **Work**: Tokens spent on work that produced this record ( research, building, deciding)

**Context Index:** This semantic index (titles, types, files, tokens) is usually sufficient to understand past work.

When you need implementation details, rationale, or debugging context:
- Fetch by ID: get_observations([IDs]) for observations visible in this index
- Search history: Use the mem-search skill for past decisions, bugs, and deeper research
- Trust this index over re-reading code for past decisions and learnings

**Context Economics**:
- Loading: 50 observations (23,144 tokens to read)
- Work investment: 425,757 tokens spent on research, building, and decisions
- Your savings: 95% reduction from reuse

### May 6, 2026

**#S287** Modernize FileTree with file icons and add oil.nvim-style buffer manipulation (May 6 at 12:44 AM)

**#S288** Modernize FileTree with file icons and add oil.nvim-style buffer manipulation (May 6 at 12:45 AM)

**#S289** Modernize FileTree with file icons and add oil.nvim-style buffer manipulation (May 6 at 12:49 AM)

**#S290** Modernize FileTree with file icons and add oil.nvim-style buffer manipulation (May 6 at 12:52 AM)

**#S291** Modernize FileTree with file icons and add oil.nvim-style buffer manipulation (May 6 at 12:54 AM)

**#S292** Modernize FileTree with file icons and add oil.nvim-style buffer manipulation (May 6 at 12:55 AM)

**docs/superpowers/plans/2026-05-06-filetree-icons-oil.md**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #811 | 1:06 AM | ✅ | Comprehensive implementation plan for FileTree icons and OilBuffer |  |  |

**#S294** Implement modern file icons for FileTree and add oil.nvim-style buffer manipulation capabilities (May 6 at 1:09 AM)

**crates/lattice-ui-tui/src/icons.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #812 | 1:15 AM | 🟣 | Icons module created with file-type detection and Nerd Font support |  |  |
| #813 | 7:19 AM | 🟣 | Icon module with nerd-font glyphs for file tree rendering |  |  |

**crates/lattice-ui-tui/src/app.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #814 | 7:46 AM | 🟣 | Add Oil buffer kind to lattice TUI |  |  |

**crates/lattice-grammar/src/effect.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #815 | 7:54 AM | 🟣 | Register :Oil ex-command in lattice grammar system |  |  |

**crates/lattice-ui-tui/src/app.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #816 | 8:01 AM | 🟣 | Wire OpenOil effect into lattice-ui-tui app layer |  |  |

**crates/lattice-ui-tui/src/excommand.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #817 | 8:57 AM | 🔴 | Fixed tree command aliases pointing to non-existent registry entries |  |  |

**crates/lattice-grammar/src/effect.rs**
| ID | Time | T | Title | Read | Work |
