# [lattice] recent context, 2026-05-27 12:22pm GMT+5:30

**Legend:** session-request | 🔴 bugfix | 🟣 feature | 🔄 refactor | ✅ change | 🔵 discovery | ⚖️ decision

**Column Key**:
- **Read**: Tokens to read this observation (cost to learn it now)
- **Work**: Tokens spent on work that produced this record ( research, building, deciding)

**Context Index:** This semantic index (titles, types, files, tokens) is usually sufficient to understand past work.

When you need implementation details, rationale, or debugging context:
- Fetch by ID: get_observations([IDs]) for observations visible in this index
- Search history: Use the mem-search skill for past decisions, bugs, and deeper research
- Trust this index over re-reading code for past decisions and learnings

**Context Economics**:
- Loading: 50 observations (16,886 tokens to read)
- Work investment: 423,353 tokens spent on research, building, and decisions
- Your savings: 96% reduction from reuse

### May 22, 2026

**#S306** Resume phase 5B work and implement next logical piece after reviewing phase-5b-app-fields.md (May 22 at 10:26 AM)

### May 24, 2026

**#S307** Fix popup cursor display and increase popup size for describe commands (May 24 at 7:46 AM)

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #916 | 8:08 AM | 🔵 | Describe-command popups use centered placement with 640x400px constraint |  |  |

**crates/lattice-protocol/src/position.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #917 | " | 🔵 | Position struct located in lattice-protocol crate |  |  |
| #918 | " | 🔵 | Position struct contains line and byte fields for cursor tracking |  |  |

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #919 | 8:09 AM | 🔴 | Popup cursor changed from full-line to character-wide block |  |  |
| #920 | 8:10 AM | ✅ | Popup dimensions increased from 640x400 to 900x600 |  |  |
| #921 | " | ✅ | Committed popup cursor and size improvements |  |  |

**#S308** Systematic bugfix: Replace scattered is_active checks with unified render_active flag to fix visual artifacts when popup overlays are focused in Lattice GPUI text editor (May 24 at 8:10 AM)

**crates/lattice-host/src/dispatch.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #922 | 8:19 AM | 🔵 | Hover popup flow uses RendererSignal::DisplayBuffer for renderer-agnostic popup display |  |  |

**crates/lattice-ui-gpui/src/lib.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #923 | " | 🔵 | GPUI DisplayBuffer signal handler updates unified popup state via editor.display_buffer |  |  |
| #924 | 8:20 AM | 🔵 | GpuiApp::dispatch_action drains pending work via run_tick_pending after action execution |  |  |
| #925 | " | 🔵 | X1b wake-bridge uses paint_request notification to trigger repaints for idle LSP arrivals |  |  |

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #926 | " | 🔵 | Wake-bridge spawned in EditorView::new as detached async task with weak entity handle |  |  |

**crates/lattice-host/src/dispatch.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #927 | " | 🔵 | Hover request spawns LSP runtime task sending HoverOutcome through unbounded channel |  |  |
| #928 | 8:21 AM | 🔵 | Action::LspHoverRequest dispatches to editor.lsp_hover_request initiating async hover flow |  |  |
| #929 | " | 🔵 | Hover outcomes distinguish between NoBody, NoServers, and successful Body responses |  |  |
| #930 | 8:22 AM | 🔵 | ensure_cursor_visible clamps cursor within viewport using scroll and viewport_height |  |  |
| #931 | " | 🔵 | ensure_cursor_visible handles both upward and downward scroll adjustments |  |  |

**crates/lattice-ui-tui/src/render.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #932 | " | 🔵 | TUI popup height calculated from candidate count via popup_height function |  |  |
| #933 | " | 🔵 | Help popup positioning uses inner_height parameter for boundary clamping |  |  |
| #934 | 8:23 AM | 🔵 | TUI position_help_popup places popups below cursor with fallback to above based on available space |  |  |

**crates/lattice-ui-tui/src/app/help.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #935 | " | 🔵 | TUI help_popup_inner_height computes viewport height with placement-specific caps |  |  |

**crates/lattice-host/src/dispatch.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #936 | " | 🔵 | ensure_cursor_visible called after viewport changes and document mutation guards |  |  |

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #937 | 8:24 AM | 🔵 | GPUI uses per-pane viewport dimensions instead of single global viewport_height |  |  |

**crates/lattice-host/src/editor.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #938 | " | 🔵 | Host Editor lacks popup-specific viewport_height field |  |  |

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #939 | " | 🔵 | collect_pane_geometries recursively distributes viewport dimensions accounting for chrome and split ratios |  |  |

**crates/lattice-host/src/dispatch.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #940 | 8:26 AM | 🔵 | Second K press focuses existing popup via focus_help_popup instead of firing new hover request |  |  |

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #941 | " | 🔵 | CursorAnchored popup positioning uses anchor snapshot and doc_scroll_at_anchor to avoid State B frame jump |  |  |
| #942 | 8:27 AM | 🔵 | GPUI popup hardcodes MAX_POPUP_LINES to 30 but doesn't set viewport_height for popup focus state |  |  |
| #943 | 8:35 AM | 🔵 | Popup focus and back buffer interaction logic investigation |  |  |
| #944 | " | 🔵 | Active pane rendering state controlled by is_active parameter |  |  |
| #945 | 8:36 AM | 🔵 | EditorElement receives is_active flag for final rendering |  |  |
| #946 | " | 🔄 | Introduced render_active flag to unify popup-aware rendering logic |  |  |
| #947 | 8:37 AM | 🔄 | Applied render_active to pane scroll selection logic |  |  |
| #948 | " | 🔄 | Applied render_active to cursor shape determination |  |  |
| #949 | " | 🔴 | Fixed back buffer visual artifacts when popup is focused |  |  |

**#S311** Configure application icon and desktop integration using existing assets (May 24 at 8:39 AM)

### May 27, 2026

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #956 | 11:43 AM | ✅ | Added TitlebarOptions import to GPUI window module |  |  |
| #957 | " | 🟣 | Configured GPUI window with application title and desktop identifier |  |  |

**assets/lattice.iconset/icon_16x16.png**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #958 | " | 🟣 | Generated macOS iconset with multiple resolutions from brand assets |  |  |

**assets/lattice.icns**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #959 | 11:44 AM | 🟣 | Compiled .icns file and added cargo-bundle metadata for native app packaging |  |  |

**assets/linux/com.lattice-editor.lattice.desktop**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #960 | " | 🟣 | Created XDG desktop entry for Linux application integration |  |  |

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #961 | " | ✅ | Verified GPUI window configuration compiles successfully |  |  |

**assets/README.md**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #962 | 11:45 AM | ✅ | Documented desktop application icon files in assets README |  |  |

**#S312** Using assets/ icons as app icon/favicon and understanding macOS icon display behavior (May 27 at 11:46 AM)

**#S313** Setting up app icon/favicon from assets/ directory - installing cargo-bundle prerequisite (May 27 at 11:54 AM)

**#S314** Troubleshoot cargo bundle failure in lattice project virtual workspace (May 27 at 11:55 AM)

**Cargo.toml**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #963 | 12:00 PM | 🔵 | Lattice project uses Cargo virtual workspace structure |  |  |

**#S315** Verify Lattice macOS app branding and icon after successful bundle build (May 27 at 12:00 PM)

**#S316** Fix Lattice macOS app to automatically launch in GUI mode when opened from bundle (May 27 at 12:01 PM)

**General**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #964 | 12:04 PM | ✅ | Lattice macOS app bundle successfully created with branding assets |  |  |

**target/debug/bundle/osx/Lattice.app/Contents/Info.plist**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #965 | " | 🔵 | Lattice.app Info.plist configured with complete branding and metadata |  |  |

**target/debug/bundle/osx/Lattice.app/Contents/MacOS/lattice**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #966 | 12:05 PM | 🔵 | GUI feature confirmed compiled into Lattice binary via GPUI symbols |  |  |

**crates/lattice-cli/src/main.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #967 | " | 🔵 | Lattice CLI routing mechanism between GUI and TUI modes |  |  |
| #968 | " | 🟣 | Auto-detect GUI mode when Lattice launches from macOS bundle |  |  |

**assets/README.md**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #969 | 12:19 PM | 🟣 | Application icon assets and cross-platform integration |  |  |

**#S317** Commit application icon and cross-platform bundle integration changes (May 27 at 12:20 PM)

**docs/dev/operations/implementation.md**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #970 | 12:20 PM | 🔵 | Documentation audit for bundle and icon implementation coverage |  |  |
| #971 | 12:21 PM | 🔵 | Phase 5.9 identified as placeholder for CLI renderer integration work |  |  |


Access 423k tokens of past research & decisions for just 16,886t. Use the claude-mem skill to access memories by ID.
