# [lattice] recent context, 2026-05-27 11:37am GMT+5:30

**Legend:** session-request | 🔴 bugfix | 🟣 feature | 🔄 refactor | ✅ change | 🔵 discovery | ⚖️ decision

**Column Key**:
- **Read**: Tokens to read this observation (cost to learn it now)
- **Work**: Tokens spent on work that produced this record ( research, building, deciding)

**Context Index:** This semantic index (titles, types, files, tokens) is usually sufficient to understand past work.

When you need implementation details, rationale, or debugging context:
- Fetch by ID: get_observations([IDs]) for observations visible in this index
- Search history: Use the mem-search skill for past decisions, bugs, and deeper research
- Trust this index over re-reading code for past decisions and learnings

**Context Economics**:
- Loading: 50 observations (17,116 tokens to read)
- Work investment: 374,821 tokens spent on research, building, and decisions
- Your savings: 95% reduction from reuse

### May 6, 2026

**#S292** Modernize FileTree with file icons and add oil.nvim-style buffer manipulation (May 6 at 12:55 AM)

**#S294** Implement modern file icons for FileTree and add oil.nvim-style buffer manipulation capabilities (May 6 at 1:09 AM)

**#S295** Modernize FileTree with file icons and explore oil.nvim-style buffer manipulation (May 6 at 2:01 PM)

**#S296** Beautify FileTree with modern file icons and explore oil.nvim-style buffer manipulation capabilities (May 6 at 2:29 PM)

**#S297** Phase 5.B.19 - Complete LSP request channel field migration from App to Editor (May 6 at 2:33 PM)

### May 15, 2026

**#S304** Fix font configuration compilation errors in lattice GPUI editor to enable configurable font family and size (May 15 at 2:23 PM)

### May 22, 2026

**crates/lattice-host/src/ui/theme_options.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #898 | 10:11 AM | 🟣 | Font configuration options added to UI settings |  |  |

**crates/lattice-ui-gpui/src/lib.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #899 | 10:15 AM | 🟣 | Font configuration wired to GPUI theme rebuild |  |  |

**#S305** Fix compilation errors and commit font configuration feature for lattice GPUI editor to resolve cursor misalignment issues (May 22 at 10:24 AM)

**#S306** Resume phase 5B work and implement next logical piece after reviewing phase-5b-app-fields.md (May 22 at 10:26 AM)

### May 24, 2026

**General**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #902 | 6:56 AM | 🔵 | Focus management issue in gpui popups |  |  |

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #903 | " | 🔵 | Popup and focus handling architecture in lattice-ui-gpui window.rs |  |  |
| #904 | " | 🔵 | Recent popup focus visual indicator fix in window.rs |  |  |

**crates/lattice-host/src/render_state.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #905 | 6:57 AM | 🔵 | PopupRenderState includes cursor position anchor field |  |  |
| #906 | " | 🔵 | Popup state machine with State A and State B focus modes |  |  |

**crates/lattice-host/src/dispatch.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #907 | " | 🔵 | focus_help_popup implements State A to State B transition |  |  |
| #908 | 6:58 AM | 🔵 | Two distinct popup opening paths for State A versus State B |  |  |

**crates/lattice-host/src/render_state.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #909 | 6:59 AM | 🔴 | Add doc_scroll_at_anchor field to fix popup position jump in State B transition |  |  |

**crates/lattice-host/src/editor.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #910 | " | 🔴 | Add popup_doc_scroll_at_anchor field to Editor struct |  |  |

**General**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #911 | 7:45 AM | 🔵 | LSP Mode Tests Flaky in Full Suite, Pass in Isolation |  |  |

**crates/lattice-ui-gpui/Cargo.toml**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #912 | " | 🔵 | All Three Failing LSP Tests Pass When Run Individually |  |  |

**Cargo.lock**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #913 | 7:46 AM | 🔄 | Eliminated Sync Actor Round-Trip for paint_request in Hot Path |  |  |

**#S307** Fix popup cursor display and increase popup size for describe commands (May 24 at 7:46 AM)

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #914 | 8:07 AM | 🔵 | Popup cursor rendering uses line-level detection |  |  |
| #915 | 8:08 AM | 🔵 | Popup cursor applies background to entire line div |  |  |
| #916 | " | 🔵 | Describe-command popups use centered placement with 640x400px constraint |  |  |

**crates/lattice-protocol/src/position.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #917 | " | 🔵 | Position struct located in lattice-protocol crate |  |  |
| #918 | " | 🔵 | Position struct contains line and byte fields for cursor tracking |  |  |

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #919 | 8:09 AM | 🔴 | Popup cursor changed from full-line to character-wide block |  |  |
